"province","health_sector","vaccination_date","total_number_vaccines_administered"
"Gauteng","Private Health","2021-02-21",407
"Gauteng","Private Health","2021-10-30",350
"Mpumalanga","Private Health","2021-08-21",88
"Northern Cape","Public Health","2021-12-15",583
"Free State","Private Health","2021-11-23",242
"Eastern Cape","Private Health","2021-09-27",309
"KwaZulu-Natal","Public Health","2021-07-11",24
"Gauteng","Public Health","2021-10-05",4988
"Western Cape","Private Health","2021-10-10",6
"Gauteng","Public Health","2021-03-16",1708
"Free State","Public Health","2021-08-08",211
"Gauteng","Private Health","2021-10-28",1114
"Eastern Cape","Public Health","2021-07-06",1806
"Mpumalanga","Private Health","2021-10-30",128
"Gauteng","Private Health","2021-09-05",65
"Western Cape","Public Health","2021-09-28",1913
"Mpumalanga","Public Health","2021-08-04",3773
"Mpumalanga","Private Health","2021-11-17",182
"Limpopo","Private Health","2021-10-01",1358
"Gauteng","Public Health","2021-09-06",4536
"Gauteng","Private Health","2021-04-30",1508
"Mpumalanga","Private Health","2021-07-26",18
"Gauteng","Public Health","2021-03-23",1345
"Eastern Cape","Public Health","2021-07-26",9834
"Free State","Public Health","2021-09-27",2059
"Northern Cape","Public Health","2021-12-08",1464
"Gauteng","Public Health","2021-11-27",1248
"Northern Cape","Private Health","2021-11-12",180
"Western Cape","Public Health","2021-05-12",3659
"Gauteng","Public Health","2021-03-03",1138
"Gauteng","Public Health","2021-06-13",1
"Northern Cape","Public Health","2021-03-07",112
"Western Cape","Private Health","2021-06-23",23
"Eastern Cape","Public Health","2021-11-27",861
"North West","Public Health","2021-07-19",2527
"Gauteng","Private Health","2021-09-01",4060
"KwaZulu-Natal","Private Health","2021-08-10",636
"KwaZulu-Natal","Private Health","2021-10-25",171
"North West","Public Health","2021-10-31",2646
"North West","Private Health","2021-11-07",60
"Western Cape","Private Health","2021-03-15",313
"KwaZulu-Natal","Private Health","2021-08-11",815
"Western Cape","Public Health","2021-07-07",4552
"Limpopo","Private Health","2021-09-15",1353
"North West","Public Health","2021-03-03",260
"Mpumalanga","Private Health","2021-08-31",820
"Gauteng","Public Health","2021-05-04",1538
"Limpopo","Private Health","2021-12-04",127
"Free State","Private Health","2021-12-10",245
"Mpumalanga","Public Health","2021-10-25",5611
"Free State","Public Health","2021-08-24",3309
"Western Cape","Public Health","2021-06-22",12
"Gauteng","Private Health","2021-09-23",2822
"Mpumalanga","Private Health","2021-11-26",260
"Free State","Public Health","2021-08-27",2410
"Western Cape","Public Health","2021-03-03",960
"North West","Public Health","2021-11-24",2809
"Eastern Cape","Public Health","2021-09-03",4278
"KwaZulu-Natal","Public Health","2021-09-19",1095
"KwaZulu-Natal","Public Health","2021-08-14",1981
"Western Cape","Private Health","2021-09-29",671
"Eastern Cape","Private Health","2021-09-23",255
"Western Cape","Public Health","2021-05-21",25
"Free State","Private Health","2021-11-30",344
"Western Cape","Public Health","2021-09-18",1479
"Northern Cape","Public Health","2021-02-24",363
"Northern Cape","Public Health","2021-11-20",174
"North West","Private Health","2021-08-18",377
"Mpumalanga","Public Health","2021-03-13",1
"Eastern Cape","Public Health","2021-05-17",716
"Gauteng","Private Health","2021-03-22",1
"KwaZulu-Natal","Public Health","2021-08-02",1894
"KwaZulu-Natal","Private Health","2021-07-05",2
"Eastern Cape","Public Health","2021-11-19",3076
"Limpopo","Public Health","2021-06-23",1
"Northern Cape","Private Health","2021-11-23",174
"KwaZulu-Natal","Public Health","2021-05-03",888
"Eastern Cape","Public Health","2021-06-26",4
"Mpumalanga","Private Health","2021-09-20",581
"Free State","Public Health","2021-07-12",64
"KwaZulu-Natal","Public Health","2021-03-09",2136
"Mpumalanga","Public Health","2021-03-09",290
"Northern Cape","Private Health","2021-09-16",62
"Eastern Cape","Private Health","2021-09-04",146
"Limpopo","Public Health","2021-03-06",294
"Gauteng","Public Health","2021-10-03",6673
"Western Cape","Private Health","2021-08-21",125
"Gauteng","Public Health","2021-03-30",1137
"Mpumalanga","Public Health","2021-06-29",611
"Western Cape","Public Health","2021-03-21",4
"Limpopo","Public Health","2021-02-17",1
"Mpumalanga","Private Health","2021-05-05",1
"Northern Cape","Public Health","2021-06-25",838
"Western Cape","Public Health","2021-03-25",1804
"Free State","Public Health","2021-11-15",2405
"Limpopo","Private Health","2021-02-20",1
"Mpumalanga","Private Health","2021-08-24",836
"Mpumalanga","Private Health","2021-09-16",1269
"North West","Private Health","2021-09-15",709
"Mpumalanga","Public Health","2021-08-21",1318
"Northern Cape","Private Health","2021-07-30",389
"Mpumalanga","Private Health","2021-03-08",143
"Limpopo","Public Health","2021-07-09",17438
"KwaZulu-Natal","Private Health","2021-07-16",4
"North West","Public Health","2021-12-11",1351
"North West","Public Health","2021-04-12",186
"KwaZulu-Natal","Public Health","2021-11-17",4006
"Limpopo","Public Health","2021-11-12",2872
"Eastern Cape","Public Health","2021-08-09",461
"North West","Public Health","2021-09-05",1021
"Northern Cape","Public Health","2021-03-27",192
"Free State","Public Health","2021-08-06",3241
"KwaZulu-Natal","Public Health","2021-04-07",411
"Free State","Public Health","2021-11-03",3823
"KwaZulu-Natal","Private Health","2021-12-14",141
"Western Cape","Public Health","2021-06-15",5
"KwaZulu-Natal","Public Health","2021-11-02",4877
"KwaZulu-Natal","Public Health","2021-08-20",13588
"Eastern Cape","Private Health","2021-03-18",377
"KwaZulu-Natal","Private Health","2021-11-29",161
"North West","Public Health","2021-11-01",7651
"Western Cape","Public Health","2021-09-10",4458
"North West","Public Health","2021-11-04",3263
"Limpopo","Public Health","2021-05-15",773
"KwaZulu-Natal","Private Health","2021-05-10",1399
"North West","Public Health","2021-03-18",531
"KwaZulu-Natal","Private Health","2021-10-11",213
"Limpopo","Private Health","2021-08-17",551
"North West","Public Health","2021-08-30",4926
"Limpopo","Public Health","2021-11-14",747
"KwaZulu-Natal","Public Health","2021-04-01",360
"Eastern Cape","Public Health","2021-08-23",6063
"Western Cape","Private Health","2021-09-17",1507
"Gauteng","Public Health","2021-07-03",65
"KwaZulu-Natal","Public Health","2021-11-03",5436
"Limpopo","Public Health","2021-10-14",12294
"Mpumalanga","Private Health","2021-07-11",1
"Eastern Cape","Public Health","2021-05-18",415
"KwaZulu-Natal","Private Health","2021-09-26",29
"Free State","Public Health","2021-05-29",5
"North West","Public Health","2021-08-16",1560
"Gauteng","Public Health","2021-03-09",1549
"Limpopo","Public Health","2021-10-29",6428
"Eastern Cape","Public Health","2021-03-01",99
"Western Cape","Public Health","2021-06-24",510
"Free State","Public Health","2021-09-14",3069
"KwaZulu-Natal","Private Health","2021-12-02",177
"Gauteng","Public Health","2021-05-17",555
"KwaZulu-Natal","Public Health","2021-02-23",1399
"Eastern Cape","Private Health","2021-08-09",1
"Mpumalanga","Public Health","2021-10-03",2204
"North West","Private Health","2021-03-11",207
"Northern Cape","Private Health","2021-10-07",219
"Gauteng","Public Health","2021-07-07",3490
"Limpopo","Public Health","2021-08-24",11138
"Gauteng","Private Health","2021-10-27",1384
"Mpumalanga","Public Health","2021-10-02",6021
"Mpumalanga","Public Health","2021-11-24",3529
"Mpumalanga","Public Health","2021-11-15",4301
"Limpopo","Public Health","2021-03-20",1
"Limpopo","Public Health","2021-03-15",19
"Limpopo","Private Health","2021-11-11",638
"North West","Private Health","2021-11-20",24
"Eastern Cape","Public Health","2021-10-31",679
"Northern Cape","Public Health","2021-03-06",37
"Northern Cape","Public Health","2021-06-30",920
"Mpumalanga","Private Health","2021-10-12",570
"Gauteng","Public Health","2021-04-29",954
"Limpopo","Private Health","2021-09-14",1575
"Mpumalanga","Private Health","2021-09-28",625
"Free State","Public Health","2021-10-20",5702
"KwaZulu-Natal","Public Health","2021-09-04",1350
"Gauteng","Private Health","2021-03-23",2234
"North West","Private Health","2021-09-03",653
"Gauteng","Public Health","2021-12-10",4939
"North West","Private Health","2021-11-12",222
"Western Cape","Public Health","2021-06-03",17
"Western Cape","Public Health","2021-08-06",6699
"Western Cape","Private Health","2021-10-30",191
"North West","Public Health","2021-09-13",4841
"Free State","Public Health","2021-07-09",755
"Western Cape","Private Health","2021-09-03",1964
"KwaZulu-Natal","Private Health","2021-10-30",87
"Eastern Cape","Public Health","2021-06-29",4817
"Limpopo","Public Health","2021-11-10",4759
"Mpumalanga","Private Health","2021-10-05",687
"Free State","Private Health","2021-07-09",1
"Eastern Cape","Public Health","2021-08-29",1314
"Free State","Private Health","2021-10-23",39
"North West","Public Health","2021-07-31",1763
"Western Cape","Public Health","2021-02-20",57
"Eastern Cape","Private Health","2021-07-16",244
"KwaZulu-Natal","Private Health","2021-07-07",4
"KwaZulu-Natal","Public Health","2021-09-25",1141
"Western Cape","Private Health","2021-08-19",736
"Mpumalanga","Public Health","2021-07-18",3
"Eastern Cape","Private Health","2021-11-04",326
"Mpumalanga","Public Health","2021-09-20",7042
"Mpumalanga","Public Health","2021-06-21",50
"Free State","Public Health","2021-07-27",3801
"North West","Public Health","2021-02-26",550
"Eastern Cape","Private Health","2021-04-28",256
"Gauteng","Private Health","2021-07-29",2249
"KwaZulu-Natal","Private Health","2021-03-04",650
"Western Cape","Private Health","2021-08-20",1553
"North West","Private Health","2021-12-15",139
"Mpumalanga","Public Health","2021-10-22",7053
"Northern Cape","Private Health","2021-09-29",46
"Northern Cape","Public Health","2021-11-27",56
"KwaZulu-Natal","Public Health","2021-09-16",4892
"Mpumalanga","Public Health","2021-09-25",2249
"Eastern Cape","Private Health","2021-04-01",135
"Northern Cape","Private Health","2021-07-09",28
"Eastern Cape","Public Health","2021-09-08",5525
"Limpopo","Private Health","2021-11-08",553
"KwaZulu-Natal","Public Health","2021-10-27",5281
"Gauteng","Private Health","2021-06-06",1
"Limpopo","Public Health","2021-05-11",903
"Gauteng","Private Health","2021-06-26",14
"Northern Cape","Private Health","2021-11-10",247
"Eastern Cape","Private Health","2021-09-20",666
"KwaZulu-Natal","Private Health","2021-12-06",228
"Free State","Public Health","2021-09-18",871
"North West","Public Health","2021-09-07",4612
"KwaZulu-Natal","Private Health","2021-09-30",331
"Eastern Cape","Private Health","2021-07-03",2
"North West","Public Health","2021-10-01",6636
"Western Cape","Private Health","2021-11-03",382
"Gauteng","Private Health","2021-10-25",1824
"North West","Public Health","2021-07-15",696
"KwaZulu-Natal","Private Health","2021-11-25",87
"Gauteng","Private Health","2021-06-14",2
"Mpumalanga","Private Health","2021-10-23",120
"Western Cape","Private Health","2021-07-22",623
"Eastern Cape","Public Health","2021-05-16",18
"Gauteng","Private Health","2021-09-27",1922
"Free State","Public Health","2021-09-06",1640
"North West","Private Health","2021-10-03",12
"KwaZulu-Natal","Private Health","2021-10-19",491
"Western Cape","Public Health","2021-11-05",3659
"Free State","Public Health","2021-08-14",131
"Northern Cape","Private Health","2021-05-10",69
"North West","Public Health","2021-07-13",1726
"Western Cape","Public Health","2021-03-12",938
"Eastern Cape","Public Health","2021-03-23",1225
"Limpopo","Private Health","2021-11-01",148
"Western Cape","Private Health","2021-12-15",278
"Gauteng","Public Health","2021-08-16",8675
"Eastern Cape","Private Health","2021-03-17",244
"KwaZulu-Natal","Private Health","2021-11-03",327
"Eastern Cape","Public Health","2021-09-02",5951
"Mpumalanga","Public Health","2021-05-28",1
"North West","Public Health","2021-11-21",1662
"Gauteng","Private Health","2021-07-04",2
"Free State","Public Health","2021-06-25",4432
"Mpumalanga","Public Health","2021-06-12",1
"KwaZulu-Natal","Public Health","2021-09-02",7062
"Limpopo","Private Health","2021-07-21",608
"Western Cape","Private Health","2021-09-06",1562
"Gauteng","Public Health","2021-05-08",1
"Eastern Cape","Private Health","2021-08-26",1338
"Gauteng","Public Health","2021-05-20",312
"North West","Private Health","2021-12-13",132
"Gauteng","Private Health","2021-07-15",1936
"KwaZulu-Natal","Private Health","2021-09-06",458
"Free State","Public Health","2021-07-29",4669
"Eastern Cape","Public Health","2021-11-08",2875
"Mpumalanga","Public Health","2021-09-13",5746
"Western Cape","Public Health","2021-07-06",4440
"Northern Cape","Public Health","2021-08-22",210
"Eastern Cape","Public Health","2021-10-29",4611
"Eastern Cape","Private Health","2021-07-08",114
"Eastern Cape","Private Health","2021-03-26",410
"Mpumalanga","Private Health","2021-06-23",13
"Mpumalanga","Private Health","2021-03-25",200
"Western Cape","Public Health","2021-06-29",3515
"North West","Public Health","2021-08-18",1630
"Eastern Cape","Public Health","2021-07-30",4787
"KwaZulu-Natal","Public Health","2021-07-04",73
"North West","Public Health","2021-09-17",6088
"Northern Cape","Public Health","2021-10-26",2152
"Western Cape","Public Health","2021-06-14",21
"Limpopo","Private Health","2021-09-22",1216
"Gauteng","Public Health","2021-09-29",3510
"Northern Cape","Public Health","2021-05-23",2
"North West","Private Health","2021-11-21",1
"Free State","Private Health","2021-09-08",330
"Northern Cape","Public Health","2021-05-05",141
"Mpumalanga","Private Health","2021-07-20",118
"Free State","Public Health","2021-11-20",156
"Western Cape","Public Health","2021-07-04",3
"North West","Public Health","2021-02-22",775
"Western Cape","Private Health","2021-12-11",166
"Western Cape","Private Health","2021-05-29",1
"Northern Cape","Public Health","2021-08-19",1220
"Free State","Private Health","2021-07-30",299
"Limpopo","Public Health","2021-11-09",4874
"Mpumalanga","Public Health","2021-07-23",1733
"Western Cape","Private Health","2021-08-09",3
"Eastern Cape","Public Health","2021-11-14",2733
"Limpopo","Public Health","2021-03-21",1
"Eastern Cape","Private Health","2021-09-06",1002
"Eastern Cape","Public Health","2021-12-15",1606
"Gauteng","Private Health","2021-06-30",1368
"KwaZulu-Natal","Private Health","2021-09-16",846
"Mpumalanga","Private Health","2021-07-09",41
"Mpumalanga","Public Health","2021-03-17",102
"Eastern Cape","Public Health","2021-09-24",662
"KwaZulu-Natal","Public Health","2021-07-07",4995
"Eastern Cape","Private Health","2021-09-30",169
"Limpopo","Private Health","2021-12-15",342
"KwaZulu-Natal","Public Health","2021-06-26",61
"Eastern Cape","Public Health","2021-08-24",7424
"Northern Cape","Public Health","2021-12-11",114
"North West","Public Health","2021-08-10",1878
"Free State","Public Health","2021-08-23",2379
"Western Cape","Private Health","2021-10-24",4
"Free State","Public Health","2021-11-18",2806
"Eastern Cape","Private Health","2021-04-09",152
"Gauteng","Public Health","2021-03-04",1612
"North West","Private Health","2021-11-09",226
"Gauteng","Public Health","2021-07-24",824
"Mpumalanga","Private Health","2021-08-06",89
